text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"The PVV is talking about budget caps. These are indeed an enormously perverse price incentive that we must eradicate from the healthcare market. If we put forward a proposal, we can therefore cooperate on it, and the PVV will vote in favor. It is the same story: a majority will be achieved in the House, and we will finally be rid of them. After all, we previously passed a motion to ban budget caps, but it was not implemented. That is why you are calling on the Minister to do so.",1,91,34.05,85.83,24.32,54.36,15.17,18.68,87.91,72.53,63.74,14.29,7.69,0,5.49,1.1,0,1.1,6.59,15.38,10.99,0,10.99,15.38,6.59,6.59,1.1,19.78,2.2,3.3,9.89,6.59,2.2,1.1,23.08,1.1,9.89,2.2,1.1,2.2,1.1,1.1,4.4,0,4.4,3.3,1.1,0,0,0,0,0,0,0,13.19,5.49,2.2,0,0,0,2.2,7.69,0,0,0,0,1.1,1.1,0,0,5.49,0,1.1,0,4.4,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,1.1,0,0,0,6.59,0,3.3,3.3,0,0,0,3.3,3.3,6.59,4.4,0,0,0,0,0,13.19,6.59,5.49,0,0,0,1.1,0
"But the information is all very precise. The wolf can already be shot. That is already possible. In case of emergency, the police may give the order — or they may do it themselves — to shoot a wolf. That has already happened. So the truth must be told. Moreover, people also have a duty to protect animals. That is not happening adequately. We will discuss that shortly. The point is the following. We continuously asked for intervention when it was still time, and at that time, no one, absolutely no one, supported us. I therefore have difficulty accepting that our party in particular comes under fire, while we warned about this misery. We are not going to cooperate with that anymore. If they are all allowed in, you don't shoot them all. And that is exactly what is going to happen. Just watch.",1,142,5.79,68.82,31.69,29.74,8.88,20.42,91.55,75.35,65.49,18.31,8.45,0.7,4.23,0.7,0,2.82,9.86,15.49,6.34,0,9.15,14.08,10.56,6.34,3.52,22.54,2.82,2.82,7.75,5.63,0,2.11,35.21,4.93,13.38,2.11,0.7,2.11,3.52,2.82,4.23,0,4.93,2.82,2.11,0.7,0,0.7,0,0,0,0,15.49,7.04,1.41,0,0,0.7,2.82,8.45,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0.7,0.7,0,0.7,0,0,0,0,0,0.7,0,0.7,0,0.7,0,0,1.41,0,4.93,4.93,1.41,0.7,3.52,0.7,0,0,6.34,5.63,9.15,4.93,0.7,0,0.7,0,0,17.61,11.27,5.63,0,0,0.7,0,0
"No. Once again: we do not have 76 seats, and I cannot implement my election manifesto as long as I do not have an absolute majority. Perhaps it is better, for any party whatsoever, that no single party holds an absolute majority. You will therefore always have to make compromises. We have done that too. So yes, we were unable to secure everything. That is simply the way it is, and my voters understand that very well as well. What we did secure is the strictest asylum policy ever, and that is truly number one, also with our voters. But you also see—as I just mentioned—that of those billions, approximately 4 billion net tax relief goes to citizens and just over 1 billion net to businesses. That is a ratio of 4 to 1. Is it bad that those businesses receive tax relief? No, not at all! People work there. It is entirely justified that they receive tax relief as well. A portion of that tax relief also goes to small and medium-sized enterprises. The grocer and the baker on the corner benefit from the rollback of the SME profit exemption. Think of the energy tax, too. Those aren't large corporations or Maoist issues. Those are just normal businesses benefiting from it: small and medium-sized enterprises in the Netherlands. I am proud. The PVV also stands for small and medium-sized enterprises. Yes, okay, there is something to be said for the dividend tax as well — I agree with you on that — but on balance, about 1 billion goes to companies and 4 billion to citizens. It won't get any more PVV than this.",1,275,20.83,33.86,11.97,88.37,11.96,17.09,90.91,73.09,60.73,15.27,5.82,2.55,1.82,1.09,0,0.36,9.45,17.82,5.45,5.45,12.73,8.36,9.82,8.73,3.27,12,5.82,8.36,5.09,2.55,1.45,1.09,18.55,3.27,8,1.45,0.73,0.36,2.18,1.45,2.91,0,5.45,5.09,0.36,0.73,0.36,0.36,0,0,0,0,6.91,2.18,0.36,0,0,0,0.73,4.73,0,0,0,0,1.45,1.45,0,0,6.18,0.73,0,3.27,4,0,0.36,0,0,0,0,0,0,0.36,0,0.73,0,1.09,2.18,0,0,1.09,0.73,0,5.09,4,0,1.09,2.55,0.36,0,0,1.45,1.45,6.18,1.45,1.45,0,1.45,0,0,15.64,7.64,4.73,0.36,0.36,0.73,1.82,0
"Thank you, Chair. Today we are discussing the problems in Ter Apel. There is much to be said about this. For years, Ter Apel has been terrorized by asylum thugs. Asylum seekers walk around with knives. There are acts of vandalism and burglaries. Shoplifting occurs constantly. Violence is even committed against security guards, general practitioners, and staff working in the asylum seeker center. Just last Friday, two underage asylum seekers from Ter Apel harassed girls on the train and assaulted two NS employees at Roosendaal station. It is not just in Ter Apel that things are getting out of hand. In other municipalities with an asylum seeker center, such as Emmen or Budel, there is also misery caused by asylum seekers. In Maarheeze, NS even threatened to close the train station. People in Budel no longer even dare to go to the supermarket because they know that groups of asylum seekers are walking around with knives in their pockets. Chair. This is, of course, unacceptable. It is unacceptable that our own people no longer even dare to go out on the streets because they are being terrorized by asylum seekers. The cause of all this misery is, of course, the massive influx of asylum seekers in recent years. Under previous cabinets, more than 450,000 asylum seekers were admitted. This is not a reception crisis, but an influx crisis and a nuisance crisis. It is the Minister's task to clean up this mess. That is no easy task, especially not when you are constantly being obstructed. As far as the PVV is concerned, we will quickly implement the measures agreed upon in the framework agreement to limit the influx. This also applies to the agreements to tackle nuisance. A pilot project has now been launched in Ter Apel to address the nuisance. Asylum seekers from safe countries causing a nuisance must report twice a day. I understand that the Minister is bound by laws and court rulings, but a reporting obligation alone is not enough for us. As far as the PVV is concerned, criminal and disruptive asylum seekers must be locked up. I will therefore submit a motion with the other coalition parties to detain asylum seekers causing a nuisance. In conclusion, Chair. For the PVV, it is not only important that the Cabinet works on reducing the influx and the nuisance, but also that the Cabinet focuses on return, preferably forced. Criminal and disruptive asylum seekers and those from safe countries must be quickly put on a plane to their countries of origin. How will the Minister ensure this? Thank you.",1,432,78.8,44.16,39.59,7.66,13.09,22.69,79.63,61.34,51.85,7.64,3.01,0.46,0.93,0.69,0,0.93,4.63,14.81,8.1,0.93,15.51,8.1,6.25,5.79,1.85,12.27,5.79,3.24,4.86,1.39,0.69,2.78,20.6,0.93,9.26,1.62,2.08,1.39,0.23,1.85,2.78,0,5.56,1.85,3.24,1.39,0,0.93,0.46,0,0,0,7.87,3.7,0.69,0.46,1.16,0.93,0.93,4.17,0,0,0.23,0,0.46,0.46,0,0,2.55,0.23,0,2.08,0.23,0,0.23,0,0,0,0,0,0,0,0,0.93,0,0.46,0.46,0,0,0,2.08,0,4.63,12.5,3.47,2.08,7.64,0,0,0,3.47,1.39,6.02,0.69,0,0,0,0,0,13.19,7.41,5.32,0.23,0,0.23,0,0
"We see that public transport is becoming increasingly expensive. The PVV has also argued on several occasions for doing something about this. We will have some good suggestions for this during the debate later. It was not without reason that the PVV was of the opinion that NS could cease all its ancillary activities so that money could be saved, so that the money could have gone to the traveler. You know, Mr. El Abassi, I say through you, Chair: the best advertisement for public transport is still a train that runs on time, a train that is clean, and a train in which it is safe. That is the very best advertisement to get more people to take the train, to generate more revenue, and ultimately to be able to lower fares.",1,133,50.06,66.57,10.73,42.52,22.17,15.04,87.22,73.68,60.15,15.04,3.76,0.75,1.5,1.5,0,0,11.28,21.05,9.02,0,12.78,12.78,6.02,3.76,0.75,18.05,8.27,5.26,4.51,1.5,2.26,0.75,21.05,0.75,9.02,2.26,1.5,2.26,0.75,0,2.26,0,3.01,2.26,0.75,1.5,0.75,0.75,0,0.75,0,0,8.27,3.76,0,0.75,0.75,0,3.01,5.26,0,0,0,0.75,0,0,0,0,3.01,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,12.78,4.51,0,2.26,1.5,0.75,0,0,4.51,3.01,4.51,0.75,0,0,0,0,0,12.03,5.26,6.02,0,0,0,0.75,0
"Chair. Time and again, the House expresses its concerns regarding private equity and the encroaching commercialization of healthcare. But what is the Minister doing? In her letter of March 5, she simply disregards the adopted motions. No ban, but a vague, targeted approach and a look ahead to the Healthcare Business Conduct Act (Wibz). We will just have to wait and see what happens. But the PVV parliamentary group continues to oppose commercial healthcare chains and private equity without reservation, because these parties have only one goal: to make excessive profits at the expense of sick people, and doing so with our healthcare funds. Take Co-Med, for example. The quality of care deteriorated, and when it went bankrupt, 50,000 people were left without a GP. Primary care is already under enormous pressure. Practices are full and are not accepting new patients. How many people are still waiting for GP registration after the Co-Med debacle? Has everyone who was still owed money by Co-Med received that money in the meantime? The Minister admits that the collapse of such large healthcare organizations jeopardizes the continuity of care, but repeatedly shifts the responsibility onto health insurers under the pretext that they have a duty of care and must arrange this. Research by SiRM and Finance Ideas demonstrates that profit distributions attract new providers, but when the focus lies on money—and that is where the focus lies—the quality and accessibility of care suffer. Private clinics and independent treatment centers (ZBCs) focus on low-complexity, profitable care. They compete with regular hospitals and lure scarce healthcare personnel with higher wages and better working hours. Does the Minister agree with the PVV parliamentary group that this exacerbates the staff shortage in regular healthcare? And yes, Chair, there are certainly privately funded start-ups with good intentions that stimulate healthcare innovations, but does that outweigh the sky-high dividend payouts? Does that outweigh public money disappearing into private pockets, I ask the Minister. Our healthcare system is not a business model for the greedy. Yet VWS seems to be a paradise for those looking to get rich quick at the expense of those in need of care and the taxpayer. Independent treatment centers and even the largest ambulance service, the Witte Kruis, spin off profitable activities into holding companies and work with subcontractors. The NZa can only scrutinize the healthcare BVs, not the structures surrounding them.",1,398,78.77,43.01,14.59,67.71,16.58,30.9,81.91,60.05,46.23,7.29,2.51,0.25,0.75,0,0.5,0.75,4.77,14.82,9.3,0.75,11.31,5.78,5.03,7.54,1.01,12.06,6.78,2.76,5.03,1.01,1.51,2.76,17.09,0.75,7.54,1.01,1.51,0.75,0.75,0.5,3.27,0,5.03,4.02,1.01,0.75,0.25,0.5,0,0,0,0,9.05,4.77,1.76,0.25,0.25,0.5,0.25,4.27,0,0,0.5,0,0.75,0.5,0,0.25,10.05,0.25,0.25,5.03,6.28,0.5,1.51,1.51,0.75,0,0,0,0,0,0,1.51,0,1.01,1.26,0.5,0,1.26,0,0.5,5.78,6.78,1.51,1.01,3.77,0.75,0,0,4.27,1.76,4.27,1.01,0.5,0,0.5,0,0,13.82,4.77,5.03,1.26,0,0,2.76,0
"For the time being, not very many sheep—only 3% to 5%—are kept behind wolf-proof fences, which are often inadequate or insufficiently sound. We therefore want those teams to be deployed. This has already been stated by various colleagues. Animal husbandry regulations must also be adhered to. Animals must be protected against attacks by predators. So help people with this, including hobby animal keepers. They are asking for it, and they want it. Naturally, this applies to farmers as well. I will briefly run through this. I will spare you a lot of nonsense, as Mr. Eerdmans puts it. The PVV brought the lowering of protected status to a majority back in 2023. At that point, the police could already make decisions on the spot, as could a mayor. I would like to say to Mr. Van Campen: go and talk to the mayor of Westerveld. I did that myself. He is now the former mayor. I even sat with him in the House here. It is a slightly different story than how it appeared in the media, so go and talk to him. Because if I am attacked with a pitchfork, my rabbit will bite too. We are therefore consistently and persistently sticking to sterilizing the existing packs. I would appreciate a response from the State Secretary. I have a few more questions. I would like to request national policy regarding preventive measures that have by now been proven effective, including contraceptive procedures: castration, sterilization, and that hormone dart. I would like to ask for use to be made of scientific insights and experiences from abroad, where they do not know all those problems and that panic. In that regard, I am indeed also thinking of the wolf fence teams; I will use the Dutch term. The correct placement of those fences must also be monitored. I would like to request a tightening of controls on the proper application of those wolf-deterrent measures, improvements, and protective equipment for the benefit of grazing animals. We are standing up for that as well. In any case, I would like to request — and this applies to all animals — strict enforcement of the duty of care for kept animals, as established in Article 1.6 of the Animal Keepers Decree. So go ahead and do that. I also just mentioned tackling poaching, because poaching is still taking place on a massive scale in the Netherlands. We need to do something about that. Therefore, more personnel really need to be deployed, as well as teams from the forestry service and the animal police working together, well and heavily armed. We all need to start doing that.",1,442,57.62,40.06,12.44,81.96,13.39,23.76,85.75,68.78,58.6,12.44,6.56,3.85,1.13,0.23,0.68,0.68,5.88,13.12,6.79,0.9,16.52,9.28,8.14,7.01,0.45,16.29,4.07,2.71,6.56,2.94,0.68,2.94,20.81,0.68,13.35,2.71,2.04,5.2,1.36,1.13,2.26,0,6.33,5.2,1.13,2.71,2.49,0.23,0.23,0,0,0,10.63,6.56,1.81,1.58,0.45,0.23,2.26,5.2,0.23,0,0,1.36,1.13,0.9,0.23,0,2.04,0.23,0.23,1.58,0,0,0.23,0.23,0,0,0,0,0,0,0,1.13,0.45,0.23,0.45,0,0,0.23,0.9,0,4.75,6.33,0,1.81,4.52,0.23,0.23,0.23,2.49,2.94,3.17,1.13,0,0,0,0,0,14.93,8.14,5.2,0,0,0,1.58,0
"Thank you, Chair. In this debate, we have heard many opinions regarding the right to demonstrate and the supposed carte blanche this would grant to exempt oneself from the law. Many colleagues referred to the ECHR in this regard. Article 11.1 thereof guarantees the right to demonstrate, but Article 11.2 simultaneously states that this right may be restricted by law, for example in the interest of public safety or to prevent disorder and criminal offences. This was confirmed once again by the ruling issued by the European Court of Human Rights on January 16th last. I hope the Minister can promise to look closely at this ruling, as the response so far leaves much to be desired. The PVV is therefore not confident that he will tackle these disruptive demonstrations. Hence the following motion. The House, having heard the deliberations, noting that during the recent Extinction Rebellion ""demonstration"" on 11 January 2025, participants violated the law by blocking the highway, failing to carry identification, and refusing to obey police orders; noting that the Public Prosecution Service is not initiating prosecution for this despite the 700 arrests, because, in its view, blocking the highway is ""a minor criminal offense""; noting that these disruptive and nuisance-causing ""demonstrations"" not only cost society exorbitant amounts of money and scarce police capacity, but are also life-threatening, as ambulances and other emergency services are forced to take detours; noting that no fines were issued for failing to show identification, nor for blocking the highway, nor for failing to obey police orders; requests the Minister to call the Public Prosecution Service to order and to have at least fines issued for all future violations of the law, and proceeds to the order of the day.",1,288,90.44,23.51,11.35,12.89,32,27.78,86.11,57.64,48.61,7.29,1.74,0.35,0.35,0.35,0.69,0,5.56,17.71,9.38,2.43,15.28,5.56,2.78,6.25,2.08,10.07,5.56,3.47,10.76,0.69,1.39,8.68,18.06,0.69,10.07,1.74,1.74,1.39,1.39,0.69,3.82,0,3.82,1.39,2.08,1.04,0.69,0,0,0,0,0,7.29,4.86,0.35,1.39,0.35,1.39,1.39,2.43,0,0,0,0.35,1.04,0.69,0.35,0,4.86,0,0.35,1.39,1.39,1.74,1.04,1.04,0.35,0,0,0,0,0,0,0.35,0.69,0.35,0.35,0,0,0,1.04,0,3.82,5.21,0.35,1.04,2.43,1.04,0.69,0,4.17,2.08,2.08,1.39,0,0,0,0,0,14.24,3.82,6.25,0,0,0,4.17,0
"The motion regarding document no. 1043 receives the House's judgment. I can promise to explore with DJI whether bringing available former detention boats back into service is feasible. The motion regarding document no. 1044 also receives the House's judgment, if I may interpret the request as an investigation into the possibilities.",1,51,89.52,1.03,97.97,,10.2,39.22,84.31,50.98,43.14,3.92,3.92,3.92,0,0,0,0,0,17.65,13.73,3.92,9.8,5.88,1.96,7.84,3.92,7.84,5.88,0,3.92,0,0,3.92,27.45,3.92,21.57,5.88,0,1.96,7.84,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,11.76,11.76,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,5.88,13.73,0,7.84,5.88,0,0,0,1.96,1.96,3.92,3.92,0,0,0,0,0,15.69,9.8,1.96,0,0,3.92,0,0
"Well, that is what we are doing. We are halving the deductible. I think Cindy is very happy with that. The next step is abolishing the deductible. This is a first step. So I just wanted to point that out. We are, of course, cleaning up the mess from all those previous years. You raised the VAT and brought it to 21%. We didn't do that. You did so many things. You raised the deductible. We are all now reversing what the PvdA let slip. Patience is a virtue.",1,89,14.81,96.22,40.93,72.98,6.85,11.24,92.13,78.65,67.42,22.47,11.24,2.25,5.62,3.37,0,0,11.24,21.35,10.11,2.25,7.87,14.61,6.74,3.37,1.12,21.35,5.62,5.62,5.62,5.62,0,0,23.6,2.25,5.62,1.12,0,1.12,0,2.25,1.12,0,5.62,4.49,1.12,1.12,1.12,0,0,0,0,0,12.36,3.37,1.12,1.12,0,1.12,0,8.99,0,0,0,0,0,0,0,0,3.37,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,3.37,8.99,0,6.74,2.25,0,0,0,4.49,5.62,11.24,0,0,0,0,0,0,20.22,14.61,3.37,0,0,1.12,1.12,0
