Text,Party,Speaker,Label
"Voorzitter. Een van mijn allergrootste sporthelden is Sifan Hassan. Zij bekende vlak voordat zij in april 2023 in Londen haar eerste marathon liep, dat zij zich in de voorbereiding vaak had afgevraagd waar ze in vredesnaam aan begon. Die nerveuze spanning was er. Maar ze zei ook dat ze razend nieuwsgierig was hoever ze kon komen. ""Ik wil de reis die bij deze afstand hoort gewoon een keer meemaken"", zei ze. Dus die eerste marathon was voor haar ook een nieuwe ervaring waar ze naar uitkeek. Ik sta hier vandaag een beetje met hetzelfde gevoel en dezelfde adrenaline aan de start van iets heel nieuws. Iets nieuws, niet alleen voor mij persoonlijk en de verschillende andere leden van het kabinet, maar ook voor de Nederlandse politiek. Dit is namelijk een kabinet zonder politiek leiders erin, voor het eerst in ruim 50 jaar, dat aan de slag gaat op basis van hoofdlijnen. Dat is spannend, maar tegelijkertijd zien we ernaar uit om nu echt te kunnen beginnen. In rond Nederlands: we hebben er ook gewoon zin in. Zoals u misschien weet: Sifan Hassan won haar eerste marathon met overtuiging. En daar trek ik mij als marathonloper graag aan op, in de hoop en de verwachting dat het ons zal lukken om iets goeds te doen voor Nederland, en voor alle Nederlanders en voor alle inwoners van het Koninkrijk, zeg ik maar meteen met nadruk. Het hoofdlijnenakkoord van PVV, VVD, NSC en BBB bevat daarvoor de nodige ingrediënten. Ik noem er een paar. Er komt lastenverlichting en een lager eigen risico, zodat mensen in de knel, werkende mensen met een middeninkomen, maar ook het bedrijfsleven wat meer financiële armslag krijgen. Het akkoord kiest voor een zeer streng asiel- en migratiebeleid dat past bij wat ons land aankan en aansluit bij wat onze economie nodig heeft. Het bevat de nodige voorstellen voor een landbouw- en natuurbeleid dat Nederlandse boeren en vissers weer autonomie en perspectief geeft en dat voedselzekerheid biedt voor ons allemaal. Het investeert in zaken die belangrijk zijn voor mensen én voor het vestigingsklimaat, zoals veiligheid, wonen, infrastructuur en energietransitie. En het zorgt voor meer zeggenschap voor burgers en een sterkere rechtsstaat, onder andere door vernieuwing van het kiesstelsel en door het mogelijk te maken dat wetten worden getoetst aan de Grondwet. Zo wil het hoofdlijnenakkoord recht doen aan de verkiezingsuitslag van 22 november. Op die dag gaven de inwoners van Nederland via de stembus een glasheldere opdracht aan de landelijke politiek. Ze zeiden: ""Luister naar ons. Luister naar onze zorgen over asiel en migratie, over het grote tekort aan huizen, over de prijs van de boodschappen, energie en maandelijkse huur. Luister en doe er wat aan."" Die opdracht neemt het kabinet dat zich vandaag in deze Kamer presenteert, uitermate serieus. De grootste van die zorgen is asiel en migratie. Dat is, hoe je het ook wendt of keert, het springende punt. De overtuiging van veel mensen is dat arbeidsmigratie, studiemigratie en asielmigratie jaar op jaar opgeteld een te grote druk leggen op ons land, niet alleen op de beschikbaarheid en betaalbaarheid van onze voorzieningen, maar ook op de sociale samenhang en de maatschappelijke binding in de wijken, dorpen en steden. En die zorg is reëel. Je zult maar in Ter Apel of in Budel wonen, als student met geen mogelijkheid aan een kamer kunnen komen of omringd worden door panden waarin arbeidsmigranten onder de meest erbarmelijke omstandigheden worden gehuisvest. We moeten die zorgen dus heel serieus nemen, want de asiel- en migratiecijfers zijn hoog en de druk die dat legt op onze samenleving is dat ook. Elke oplossing, elke aanpak, begint met de erkenning van die realiteit, juist ook om ervoor te zorgen dat er draagvlak blijft voor de opvang van echte vluchtelingen. Het strenge asiel- en migratiebeleid uit het hoofdlijnenakkoord zegt dus tegen de mensen: ""Wij horen u. Wij horen u en wij doen er wat aan."" Veel zorgen zijn terug te voeren op de puur menselijke behoefte aan verbinding, houvast en zekerheid. Ja, er is polarisatie in Nederland, maar het beeld dat de Nederlanders alleen nog maar de hele dag boos tegenover elkaar staan, klopt niet. Mensen hebben geen hekel aan elkaar. De overgrote meerderheid doet gewoon elke dag haar best om iets goed te doen en iets van het leven te maken, ook voor anderen. Maar mensen willen dus wel dat de overheid hun zorgen hoort. Basale zorgen als ""hoe haal ik het eind van de maand?"", maar ook onderhuidse zorgen die te maken hebben met alle internationale spanningen en bedreigingen die er nu al zijn, en die nog op ons af kunnen komen; ik noem alleen maar de oorlog in Oekraïne en de Russische dreiging. Mensen vragen zich af: wat betekent dat voor ons leven hier, voor de toekomst van mijn kinderen? En het is logisch dat zij voor de antwoorden óók naar de overheid kijken. En het beste antwoord op onzekerheden is vertrouwen. Een overheid die vertrouwen geeft en vertrouwen terugkrijgt door naast, en niet tegenover, de mensen te gaan staan. Helaas is dat in het verleden te vaak de uitkomst geweest van op zichzelf goedbedoelde overheidsbeslissingen; denk aan de toeslagenaffaire, denk aan Groningen. Daardoor is veel vertrouwen verloren gegaan. Alleen een overheid die echt luistert, kan dat terugwinnen. Niet van de ene dag op de andere, maar stap voor stap, langzaam maar zeker, in verbinding met de samenleving. Het kabinet beschouwt dat als misschien wel de belangrijkste opdracht voor de komende periode. Herstel van vertrouwen begint met beleid maken dat ook uitvoerbaar is, samen met publieke dienstverleners in de uitvoering; samen met provincies, gemeenten en waterschappen; samen met bedrijven, vakbonden en andere maatschappelijke organisaties. En natuurlijk, om te beginnen met u. Maar wat daar ook bij hoort, is keuzes durven maken en richting geven. Ook daar wil het kabinet voor staan. Natuurlijk, we zijn een coalitieland, voor compromissen. Vaak levert dat verstandig beleid op, maar soms blijft een echte oplossing steken in te veel woorden, te veel overleg. Het vraagstuk van asiel en migratie is een goed voorbeeld, net als de discussie over stikstof in relatie tot het perspectief voor de landbouw. Of neem het al jarenlang terugkerende debat over een nieuwe, betere, andere bestuurscultuur, en de versterking van de rechtsstaat. Hoeveel is er al niet gezegd, en hoe weinig is er daadwerkelijk veranderd? Op al deze terreinen moeten we van stilstand naar beweging, verandering en verbetering, en daarvoor zijn keuzes nodig. Over de inhoud van het hoofdlijnenakkoord is in dit huis al eerder gesproken, in het debat van woensdag 22 mei. En ook over de eerste taak die ons als kabinet wacht, namelijk de uitwerking van het hoofdlijnenakkoord in een meer concreet regeringsprogramma. Daar gaat het kabinet na vandaag hard mee aan de slag. En dat zullen we zo praktisch mogelijk doen. Wat u mag verwachten, is een uitwerking van de belangrijkste onderwerpen uit het hoofdlijnenakkoord, waarin doelstellingen, aanpak, planning en middelen inzichtelijk worden gemaakt, met uiteraard ook aandacht voor het maatschappelijk draagvlak en de uitvoerbaarheid. Het streven is dat het regeringsprogramma bij de Algemene Politieke Beschouwingen kan worden besproken. Voorzitter. Ik geloof niet dat het dienstig is als ik de hele inhoud van het hoofdlijnenakkoord vandaag nog eens over u uit ga strooien. In plaats daarvan wil ik dit moment benutten om inhoud en proces wat meer te duiden. Wat is dit voor kabinet? Hoe zien wij, gegeven het hoofdlijnenakkoord, onze taak? En hoe zullen we daar in de komende periode verder vorm en inhoud aan geven? Maar voordat ik daartoe overga, enkele woorden van dank. Om te beginnen aan de bewindslieden uit het vorige kabinet, die tot op het laatst met volle energie hebben gewerkt in het belang van Nederland. Ik denk dat iedereen het met me eens zal zijn dat de naamgever van dat kabinet een bijzonder eervolle vermelding verdient. Bijna 14 jaar lang is Mark Rutte het boegbeeld geweest van vier kabinetten. Met zijn talent om mensen te verbinden, oplossingen te zien waar anderen die niet meer zagen, en door zijn scherpe politiek-bestuurlijke inzicht heeft hij binnen en buiten ons land een groot gezag opgebouwd. Hij zou zelf de eerste zijn om nu te zeggen dat onder zijn leiding lang niet alles foutloos is gegaan. Maar laat ik dan vandaag benadrukken dat zijn grote verdiensten voor ons land moeilijk overschat kunnen worden. Ik ben ervan overtuigd dat ik namens heel veel mensen spreek als ik zeg dat Nederland Mark Rutte dank is verschuldigd. Ik wens hem graag alle succes toe bij de NAVO, ook in het belang van de veiligheid van ons land. (Geroffel op de bankjes) ",Schoof,Minister Schoof,15
"Woorden van dank ook voor de verkenners en informateurs en speciaal voor Richard van Zwol, die bereid werd gevonden als formateur op te treden. Voorzitter, u zei dat ook al even. Zij hebben het mogelijk gemaakt dat de PVV, de VVD, NSC en BBB op 16 mei een hoofdlijnenakkoord konden sluiten waarna dit kabinet kon worden gevormd, daarbij ondersteund door een — zo weet ik inmiddels uit eigen ervaring — fantastische staf en een geweldig team vanuit de Kamer. Dank aan allen voor het harde zwoegen voor en achter de schermen. Verder een persoonlijk woord van dank aan Caroline van der Plas, Dilan Yeşilgöz, Pieter Omtzigt en Geert Wilders. Dank voor het vertrouwen dat spreekt uit hun vraag aan mij om het minister-presidentschap op mij te nemen. Ik wil de heer Wilders in het bijzonder noemen. Als overtuigend winnaar van de verkiezingen en voorman van de grootste fractie heeft hij er alles aan gedaan deze samenwerking te laten slagen. Bovendien weet ik van zeer nabij met welke beperkingen in de privésfeer hij al vele jaren moet leven om dit punt te bereiken. Ik heb daar groot respect voor. Ook voor hem moet dit vandaag een mijlpaal zijn. (Geroffel op de bankjes) ",Schoof,Minister Schoof,15
"Daarmee kom ik bij enkele woorden van duiding over het karakter van de regeringsploeg, die zich vandaag aan u en aan Nederland presenteert. Want wat is dat: een extraparlementair kabinet? We hebben daar gedurende de formatie en in de aanloop naar vandaag veel verschillende beschouwingen over voorbij zien komen. Ik leid daaruit af dat het lastig is een eenduidige harde definitie te geven. Voor het kabinet is de kern van het begrip ""extraparlementair"" dat wij losser van de fracties zullen opereren dan gebruikelijk in ons land, op wat grotere afstand. Dit betekent andersom dat de Kamer haar controlerende taak beter kan uitvoeren: zonder regeerakkoord dat tot in detail is uitonderhandeld en daardoor met minder coalitiedwang en meer ruimte voor wisselende meerderheden. Zo komt er meer zuurstof in de verhouding tussen Kamer en kabinet. Als u mij nu vraagt hoe dat er de komende tijd precies uit gaat zien, zeg ik met een woord van Ruud Lubbers: dat zullen we ""werkendeweg"" met elkaar moeten gaan ontdekken en vormgeven. Zoals in het eindverslag van informateur Putters al vastgesteld is, hoort bij een extraparlementair kabinet ook een andere samenstelling, met de politieke leiders van de fracties die deze coalitie dragen in de Kamer. En ook met mensen in het kabinet die primair zijn uitgezocht vanwege hun kennis en ervaring en niet uitsluitend vanwege hun uitgesproken partijpolitieke profiel. Ik ben van dat laatste persoonlijk een voorbeeld, maar niet het enige voorbeeld. Om mij heen in vak K zit een breed samengestelde ploeg met veel expertise, veel maatschappelijke ervaring en met, zonder uitzondering, een grote betrokkenheid bij Nederland, dus geen zwart-wit beeld van politieke en apolitieke bewindspersonen, maar een gebalanceerd team. Voorzitter. Ik ben het eens met iedereen die de afgelopen maanden heeft geconcludeerd dat de verkiezingsuitslag voor alles moet worden beschouwd als een oproep van de kiezer aan de politiek om een aantal dingen anders te doen. Het hoofdlijnenakkoord Hoop, lef en trots is daarvan de uitkomst en tegelijkertijd het kader waarbinnen het kabinet zal opereren. Het is een akkoord dat op een aantal terreinen heel duidelijk de wissels verzet. Ik noemde al het migratiebeleid, het landbouw- en natuurbeleid en de voorstellen voor een beter bestuur en een sterkere democratie. Het is ook een akkoord dat rust op een fundament van gezonde overheidsfinanciën en financiële degelijkheid. Het is niemand ontgaan dat het hoofdlijnenakkoord op deze onderwerpen al behoorlijk gedetailleerde voorstellen schetst. Dat zegt iets over het belang dat de vier partijen die het akkoord hebben gesloten hechten aan deze onderwerpen. En ik zeg het maar gewoon heel duidelijk: het kabinet weet zich daaraan gebonden. Ook voor ons zijn dit belangrijke prioriteiten. Voor veel andere onderwerpen geldt dat het hoofdlijnenakkoord ruimte laat voor verstandige voorstellen van de kant van zowel de Kamer als het kabinet. Die onderwerpen zijn in de meeste gevallen zeker niet minder urgent. Het feit dat er minder woorden aan worden gewijd in het hoofdlijnenakkoord zegt niets over het belang dat het kabinet eraan hecht. Ik wil dit illustreren aan de hand van het veel gehoorde begrip ""bestaanszekerheid"", een begrip dat begint bij inkomen, armoedebestrijding en koopkracht, ook in het hoofdlijnenakkoord. Ik noem het uitgangspunt dat werken meer moet lonen, een van onze belangrijkste speerpunten in de komende jaren. Maar bestaanszekerheid omvat zo veel meer. Het is ondenkbaar zonder veiligheid, een basisbehoefte van ieder mens en ieder land, en een absolute kerntaak van de overheid. Het zal u niet verbazen dat ik dat vind. Maar bestaanszekerheid is ook een toegankelijke en goede zorg, en onderwijs voor iedereen. Het is een fatsoenlijk en betaalbaar dak boven je hoofd, want wonen is een basisbehoefte. Voor te veel mensen, zeker voor te veel jonge mensen, is een eigen huur- of koophuis een onbereikbaar doel aan het worden. Dat tij moeten wij keren. Bestaanszekerheid is een arbeidsmarkt die werkt voor mensen, met voldoende zekerheid voor werknemers en ruimte voor wie zelfstandigheid zoekt. Het is bijvoorbeeld ook beleid dat ervoor zorgt dat burgers en bedrijven de energietransitie echt mee kunnen maken, om te beginnen financieel. Kortom, een scala aan belangrijke en uiteenlopende thema's om de komende jaren op samen te werken, als Kamer en kabinet, in verbinding met de samenleving. Ik hoop dat het zo zal gaan en ik reken er eerlijk gezegd ook een beetje op, nu zo veel partijen van links tot rechts van bestaanszekerheid een hoofdthema hebben gemaakt in de verkiezingscampagne. Bovendien kunnen we van de geschiedenis leren dat ook dit kabinet hoogstwaarschijnlijk met onverwachte gebeurtenissen en ontwikkelingen te maken krijgt die niemand nu kan voorzien. Ook dan zullen we samen in overleg naar breed gedragen oplossingen moeten zoeken. Dat beroep doe ik vandaag op u, met van mijn kant de toezegging dat het kabinet de hand zal uitsteken naar alle fracties in dit huis. Voorzitter. Er zijn bij de uitwerking van het hoofdlijnenakkoord drie heldere en belangrijke randvoorwaarden: internationaal, financieel en rechtsstatelijk. Op dat laatste punt klonken bezorgde geluiden. Ik wil daar duidelijk over zijn: dit kabinet staat voor de rechtsstaat. U weet, ik heb persoonlijk mijn werkzame leven grotendeels in dienst gesteld van de bescherming van onze rechtsstaat. Als kabinet onderschrijven we de afspraken die de vier formerende partijen hierover al in een vroeg stadium hebben vastgelegd. Dat betekent dat de rechtsstaat voor ons een gegeven is, met als belangrijkste ankers democratische vrijheden en grondrechten die zijn vastgelegd in onze Grondwet. Daar staan we voor, die garanderen we. Alles wat ik daar nu meer over zou zeggen, doet afbreuk aan de volstrekte duidelijkheid die ik vandaag wil bieden aan iedereen. Ik vraag vandaag simpelweg aan u en aan alle inwoners van ons land: beoordeel ons op wat we gaan doen; beoordeel ons op onze daden. Internationaal geldt dat Nederland binnen de EU en de NAVO een betrouwbare partner is en blijft, in het diepe besef dat deze twee organisaties de hoeksteen zijn van onze veiligheid en onze welvaart. Voor mij persoonlijk is het volstrekt helder dat de bescherming van wat ons lief is en van onze vrijheden en onze hele manier van leven een absolute topprioriteit moet zijn in het internationale veiligheidsbeleid. En ja, defensie is daarin een cruciaal element. Maar een weerbare samenleving vraagt ook strategische autonomie op andere terreinen, zoals energie, voedselzekerheid en grondstoffen. We moeten daar niet naïef in zijn. Op een paar uur vliegen van hier woedt een afschuwelijke oorlog waarin voor de Russen een mensenleven niet telt. Ook ons land heeft te maken met buitenlandse hacks en andere pogingen tot spionage, infiltratie en buitenlandse beïnvloeding. Rusland, China, het Midden-Oosten, van alle kanten loert de instabiliteit naar Europa. De realiteit is dat we ons moeten voorbereiden op scenario's die lange tijd ondenkbaar waren. Alleen daarom al kan een sterk en welvarend Nederland simpelweg niet in isolement opereren. Dat zullen we ook niet doen. Oekraïne kan op Nederlandse steun blijven rekenen, financieel, militair en politiek. De NAVO-norm van 2% voor defensie wordt gehaald en wettelijk verankerd. Verder zal de Nederlandse regering binnen en buiten EU-verband alle internationale verdragen nakomen waar onze handtekening onder staat. Gewoon zoals dat hoort. Wat we niet meer zullen doen, is nationale koppen zetten op internationale afspraken, bijvoorbeeld in het natuur- en klimaatbeleid, dus geen strengere uitleg van Europese regels dan in andere landen. We hoeven niet altijd het beste jongetje van de klas te zijn. Dat kunnen we ons ook niet veroorloven, met zo veel mensen, zo veel bedrijvigheid en zo'n hoogwaardige landbouw- en visserijsector in zo'n relatief klein land. Wat we wél zullen doen, is binnen Europa het gesprek aangaan, daar waar internationale afspraken ons land onevenredig hard raken of een redelijke oplossing in de weg zitten. Het hoofdlijnenakkoord benoemt die optie met name in de hoofdstukken over migratie en landbouw. Ik weet dat velen hier en ook velen buiten deze zaal dat scharen in de categorie ""onmogelijk, kan niet"". Ik loop zelf lang genoeg mee om te beseffen dat het zomaar ter discussie stellen van internationale afspraken en een gesprek over uitzonderingsposities niet als vanzelf tot succes leidt. Tegelijkertijd moeten we goed zien dat de EU-lidstaten wel degelijk ruimte hebben om voor zichzelf te bepalen hoe ze bepaalde doelen willen bereiken. Daar is dus zeker een gesprek over mogelijk. Ik ben bovendien opgegroeid in een gezin waarin hard werken en doorzetten de norm was. ""Kan niet"" ligt op het kerkhof en ""wil niet"" ligt ernaast, hoorde ik thuis. Dus krijgt u vandaag van het kabinet op dit punt de 100%-garantie dat we in Brussel alles gaan binnenhalen? Nee, dat niet. Maar wel de 100%-belofte dat we voor het Nederlands belang zullen knokken en dat we de ruimte die er is, zullen vinden en benutten. Over de laatste randvoorwaarde, de financiën, wil ik het volgende zeggen. Het belangrijkste is dat we in de beste Nederlandse traditie kiezen voor financiële degelijkheid. Met andere woorden: het tekort op de rijksbegroting blijft binnen de afgesproken grens van 3%. Mocht het tekort tijdens de rit over die grens heen lijken te gaan, dan zullen we daarnaar handelen. Niet omdat dat moet van Europa, maar om onze kinderen en kleinkinderen te behoeden voor een te hoge schuld. We nemen geen hypotheek op de toekomst. Het is helaas een gegeven dat dit kabinet steviger de hand op de knip moet houden dan zijn voorgangers. Voor de korte en langere termijn zijn er serieuze zorgen over de rijksbegroting. De bomen groeien niet langer tot in de hemel. En toch willen wij ervoor zorgen dat mensen wat meer geld in de portemonnee krijgen en ook dat de lasten voor het bedrijfsleven naar beneden gaan. Dat betekent onvermijdelijk keuzes maken, want in de rijksbegroting staan tegenover plussen nu eenmaal altijd minnen. Ik noem de btw-verhogingen, de bezuinigingen op ontwikkelingshulp, de afschaffing van de maatschappelijke diensttijd en de stevige ingrepen in het ambtelijk apparaat van de rijksoverheid. Er is een financiële realiteit, en die moeten we onder ogen zien. Het kabinet kan en wil voor die verantwoordelijkheid niet weglopen. En daarin — tot slot, voorzitter — schuilt misschien het antwoord op de vraag die mij de afgelopen weken het vaakst is gesteld. Waarom heb je ""ja"" gezegd op het verzoek van de vier partijen om minister-president te worden? Het is een positie waar ik nooit naar heb gestreefd, een wonderlijk lot dat onverwacht op mijn pad is gekomen. En in alle eerlijkheid: natuurlijk is het ook moeilijk om ""nee"" te zeggen tegen zo'n eervol verzoek. Niets menselijks is mij vreemd. Maar ten diepste motiveert mij het publiek belang, waar ik mij al 40 jaar lang met hart en ziel voor inzet. Daarvoor verantwoordelijkheid mogen dragen, is echt het mooiste wat er is. Ik heb nooit kunnen vermoeden dat het nog eens op deze plek zou zijn. Maar nu ik hier sta, is er voor mij geen belangrijker werk denkbaar. In alle gesprekken die ik tot nu heb gevoerd met de mensen om mij heen in vak K, proef ik diezelfde drive om die verantwoordelijkheid te dragen, om iets goeds te bereiken voor Nederland, gegeven de verkiezingsuitslag van 22 november, gegeven het hoofdlijnenakkoord en gegeven de ruimte die er is om in nauw overleg met de leden van de Tweede en de Eerste Kamer, met maatschappelijke organisaties en in verbinding met de samenleving goede en verstandige ideeën in beleid om te zetten. (Geroffel op de bankjes) ",Schoof,Minister Schoof,15
"Voorzitter, dank. Ik zou willen beginnen met het hartelijk feliciteren van de veertien nieuwe Kamerleden met het mooie en belangrijke werk dat zij in de Kamer mogen doen. U heeft allemaal bloemen gekregen en ik begin ongetwijfeld aan een lange dag. Laat ik ook mijn dank uitspreken voor de inbreng in de eerste termijn van alle sprekers gisteren. Er is veel gezegd en besproken, waar ik vandaag namens het kabinet op zal antwoorden en reageren. Graag begin ik met enkele korte, inleidende opmerkingen, waarbij ik ook kort zal ingaan op een aantal vragen die meermaals terugkwamen, onder meer van NSC en het CDA. Ik beloof, voorzitter, dat u het woord ""kort"" nu letterlijk mag nemen. Er waren gisteren kritische geluiden in onze richting, gelukkig ook veel opbouwende en zelfs opbeurende woorden. Er waren ook de nodige vragen en opmerkingen, die ik maar even wil samenvatten als: wie is Dick Schoof eigenlijk en hoe kijkt hij tegen de wereld aan? Ik begrijp dat heel goed, want het is natuurlijk opmerkelijk dat ik met mijn geschiedenis en achtergrond vandaag als minister-president mijn allereerste Kamerdebat voer. Ik geloof niet dat mijn persoon het hoofdonderwerp moet zijn van dit debat, maar laat ik wel zeggen dat ik mijn persoonlijke geschiedenis en mijn achtergrond meeneem in deze nieuwe fase. Dat kan gewoon niet anders. Ik ben van de publieke zaak, van de rechtsstaat en van de veiligheid. Ik heb me daar 40 jaar met hart en ziel voor ingezet. Dat is wat mij drijft en dat zal dus ook zo blijven. Ik heb ook al eerder gezegd dat ik een premier wil zijn van en voor iedereen: van alle Nederlanders, van alle geloven en gezindten, met of zonder hoofddoek, van alle kleuren en culturen. We horen bij elkaar. Dit kabinet sluit niemand uit. Dat zijn voor mij kernbegrippen, kernwaarden. Anders gezegd: dat is ook mijn mensbeeld. Dat is wat ik voel. Dat ga ik niet eindeloos herhalen. Daar ga ik niet eindeloos over praten. Ik hoop dat de leden, maar ook de mensen in het land het gewoon zullen gaan zien, ervaren en herkennen, te beginnen vandaag. Jarenlang heb ik me ingezet voor de publieke zaak. In deze rol als premier kan ik dat nog meer doen. Dat is een grote eer. Juist in een land waarin polarisatie om zich heen slaat, is dat een verantwoordelijkheid waarvan ik voel dat ik die moet nemen. Ik kom uit een gezin waarin vooropstond dat je alles uit je mogelijkheden moet halen, alle kansen moet pakken die je krijgt. Mijn ouders hebben zich daarvoor weggecijferd. Ze hebben zich weggecijferd voor hun kinderen, zeven om precies te zijn. Ze zijn lang geleden overleden. Zoals ik eerder verteld heb, heb ik een paar dagen nagedacht over de vraag of ik premier wilde worden. Ik wist definitief dat ik de juiste keus had gemaakt toen een van mijn familieleden mij belde om te vertellen dat mijn ouders trots op mij zouden zijn geweest. Waar ik samen met de mensen hier om mij heen ook van ben, is de overtuiging dat er onderwerpen zijn die om een doorbraak vragen, om keuzes. We komen er vandaag uitgebreid over te spreken: grip op migratie, wonen, goed bestuur en stikstof. Idem dito de andere onderwerpen waar mensen grote zorgen over hebben: veiligheid, de toekomst van de zorg, goed onderwijs en zo kan ik, denk ik, nog wel even doorgaan. We willen daar als kabinet herkenbaar op zijn, met ordelijk bestuur dat concrete oplossingen oplevert. Met die intentie zijn wij, ben ik, aan deze klus begonnen. Dat is wat ik gisteren in de regeringsverklaring al heb onderstreept en waarvan ik uw Kamer in dit eerste debat ook hoop te overtuigen. Voorzitter. Ik kom aan het eind van mijn inleiding. Ik heb mijn beantwoording als volgt ingedeeld: als eerste vragen over de rechtsstaat en de werkwijze en het karakter van het kabinet, vervolgens financiën en begroting, daarna de fysieke leefomgeving, en vervolgens andere onderwerpen. ",Schoof,Minister Schoof,15
"Dank voor de vraag, meneer Jetten. U weet allemaal dat ik een hardloper en een marathonloper ben. Daar heb ik gisteren ook iets over gezegd. Dat betekent in ieder geval dat ik iemand ben die in mijn beleving ausdauer heeft, om het zo maar te zeggen, en niet te snel van zijn stuk is. Ik ben een lichtvoetig mens en tegelijkertijd ook niet naïef. Ik weet goed wat er links en rechts speelt en ik weet meestal wat ik wil. ",Schoof,Minister Schoof,15
"Meneer de voorzitter, mag ik daar meteen op reageren? Ik kan de heer Jetten geruststellen: die blokken staan snoeihard in mijn agenda. ",Schoof,Minister Schoof,15
Mijn hele korte antwoord daarop zou zijn: ik heb vol vertrouwen in alle leden van dit kabinet. ,Schoof,Minister Schoof,15
"Ik denk toch dat het goed is dat ik net dat hele korte antwoord gaf. Daarin zat eigenlijk al heel veel inbegrepen, ook de vragen die u vervolgens stelde. Ik heb vertrouwen in alle leden van dit kabinet. Tegelijkertijd snap ik de zorgen die zijn ontstaan. Voor mij is het belangrijk dat iedereen in dit kabinet de rechtsstaatverklaring en het hoofdlijnenakkoord volledig heeft ondertekend. Ik wil vooruitkijken en ik denk dat ik mij die positie, als minister-president van dit kabinet, ook kan veroorloven. Ik weet zeker dat alle leden van dit kabinet niet racistisch zijn, dat zij geen omvolkingstheorieën gebruiken en dat dat ook never ever onderdeel zal zijn van de lijn van dit kabinet, waar ik mij aan verbonden heb. Dat zal niet gebeuren in dit kabinet-Schoof. ",Schoof,Minister Schoof,15
"Op de vraag over normering ben ik denk ik net heel duidelijk geweest. Racisme, complottheorieën en discriminatie zullen in dit kabinet, in dit kabinet-Schoof, niet de maat zijn, op geen enkele wijze. Dat zal niet gebeuren onder mijn verantwoordelijkheid. ",Schoof,Minister Schoof,15
"Ik heb net iets gezegd over hoe ik hier sta, en vanuit welke achtergronden ik hier sta. Op de vraag over normering heb ik ook gezegd waar dit kabinet voor staat. Dát is voor mij belangrijk. Dat is ook onderdeel geweest van de gesprekken die we met de diverse bewindslieden hebben gehad onder leiding van de formateur. Dat heeft mij gesterkt in de overtuiging dat dit kabinet in zijn totaliteit, in zijn geheel, niemand uitgezonderd, staat voor al die dingen waar u zojuist over sprak, namelijk de rechtsstaat en de vrijheid van iedereen. Daar kunt u dit kabinet elke dag, elk uur van de dag, op aanspreken. ",Schoof,Minister Schoof,15
