text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"Mr. Stoffer rightly states that the deal consists of multiple elements. That is correct. Mr. Chairman, allow me to mention the following. During the presentation of the government statement, the opposition said that for them, three things are essentially guiding principles for support. That was in the context of the outstretched hand. Those were schoolbooks, school lunches, and the donation deduction in income tax. The Cabinet proactively sent this to the House. I also understand how politics works: you receive it and you look to see where you can unravel the ball of wool further. Subsequently, the VAT discussion was added to that. I heard Mr. Stoffer speak about single-income households. We held a debate on that, and there is also a proposal regarding it. I will provide an assessment of that shortly, also bearing in mind the political judgment that Mr. Stoffer attaches to it. Mr. Grinwis linked the donation deduction in corporate tax to that. There would be a majority for that with the three conventional parties, in the words of these three parties. Subsequently, Mr. Vijlbrief walked around in a dart jacket in connection with the Political Debates. He said: I am still here too; I would also like to be involved. It is smart that he is not allowing himself to be sidelined. That was clever political maneuvering by Mr. Vijlbrief. He broadened the VAT discussion. I observed: let us try to unravel that ball of wool, that spaghetti monster. I see broader support for VAT on accommodation, because that was also included in election manifestos and motions. But I also realize that it is interconnected and that we must view it in light of how we view the VAT system in general. I refer back briefly to the starting point of simplification, the shift from direct to indirect taxes, and the fiscal schemes that are inefficient and that we want to get rid of. Along those three points, it forms a prism, and along that prism, in the coming months, in the run-up to the Spring Budget, we must jointly seek a solution. I am also very willing to do so. In doing so, I also acknowledge Mr. Stoffer's point, who is performing clever political maneuvering to secure an important point for himself, just like a broadly supported Tax Plan.",1,385,63.68,70.24,12.16,47.86,14.81,25.97,84.94,69.35,56.62,15.58,7.27,3.12,1.56,0.78,1.3,0.26,8.31,16.1,8.83,1.04,14.55,6.75,7.53,5.19,0.26,13.77,4.42,2.86,6.75,2.6,1.04,3.12,13.51,0,5.97,1.56,1.3,1.82,0.52,0.26,0.52,0,2.86,2.34,0.52,0,0,0,0,0,0,0,13.77,8.83,1.56,2.34,0.26,0.26,2.34,6.75,0.26,0,0,3.38,1.82,1.82,0,0,5.19,0.52,0.52,2.08,2.34,0,1.04,0.26,0,0.26,0,0,0,0.52,0,0.52,0.26,0.52,0,0,0,0,0.26,0,2.86,10.13,0.78,1.04,6.75,2.08,0.26,0,1.82,3.64,3.64,0.78,0,0,0,0,0,16.36,8.83,5.71,0,0,0.26,1.56,0
"Then I return to my three-pronged approach: we have a purchasing power package with a tax relief of 2 billion, excise duties are going down, and — I now come to the most important point — childcare for working people will become almost free. That really makes a significant difference for a great many working people. I will return to the long-term reforms in January and February. For now, I will make proposals shortly — I am getting ahead of myself here — to look primarily at the full-time bonus. In the Tax Plan, we have already been able to increase the work-related expenses scheme. That is also important for working people, because it ensures that they can receive, for example, a Christmas package or something extra. I will propose how we can make overtime extra attractive by reversing that system, à la the Belgian system. I want to look at the leave arrangements. And I want to look at the Working Time Discrimination Act. But I will explain that a little further in a moment, if Ms. Patijn allows me.",1,177,68.59,27.7,90.74,80.59,17.7,24.29,90.96,72.32,54.24,12.99,9.04,6.78,1.69,0,0,0.56,3.95,13.56,8.47,1.13,12.99,7.34,6.21,5.08,0,18.08,7.91,4.52,7.91,1.69,4.52,1.69,22.03,0,12.43,1.69,3.39,2.26,2.26,0.56,2.26,0,3.95,3.95,0,0,0,0,0,0,0,0,7.91,3.39,0,0.56,0.56,0,0.56,5.08,0.56,0,0.56,0,1.13,0.56,0.56,0,7.91,0,0,4.52,3.39,0.56,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0,1.69,0,0.56,0,0,10.17,10.17,2.26,3.39,6.21,1.69,0,0,7.34,1.13,4.52,5.08,0,0,0,0,0,14.12,6.21,5.08,0,0,0,2.82,0
"Let me return to that last point regarding the assessment of the motion. I hear what Ms. Van Dijk is saying, but I also see Mr. Grinwis coming running. We must therefore conduct the debate on VAT across the board. I am indeed looking for where the real drama and pain lie, which is also being pointed out by the opposition. The opposition also wondered the following: Is there arbitrariness in the demarcation issues, causing us to no longer fully follow the original reasoning regarding the simplification of fiscal regulations and the shift from direct to indirect taxes? That debate is indeed focusing on VAT on cultural goods and services. I have seen pamphlets regarding this, and I have also seen people walking around here in the hall in festive attire to draw attention to it. That is the reason I am focusing on that, but I also see Mr. Grinwis standing here. I think that, leading up to the Spring Budget, we need to conduct a broad debate on how we view VAT in general, with all the demarcation issues involved. Given the dramatic nature of the situation, I believe that the direction of the solution indeed focuses on those cultural goods and services, but let us avoid anticipating that, otherwise we will take a step back in this debate. In my opinion, we were actually moving closer to one another. Let me put the assessment down clearly on paper, so that Mr. Grinwis, Ms. Inge van Dijk, and Mr. Vijlbrief can also weigh it carefully, so that we are speaking on the same task and can form a sound judgment regarding it leading up to the vote.",1,279,65.03,46.42,75.17,12.69,23.25,21.15,85.3,66.67,54.12,13.62,7.17,4.3,2.87,0,0,0,6.45,15.41,9.32,0.36,13.26,5.73,7.53,6.81,0.36,14.34,3.58,1.79,5.02,2.87,1.08,1.79,15.77,0.72,10.75,4.3,1.43,1.43,0.72,2.51,2.51,0,1.43,0.36,1.08,0.36,0,0.36,0,0,0,0,11.47,7.53,0,3.58,0.72,0,2.87,5.38,0,0,0.72,1.43,0.36,0.36,0,0,2.51,0.36,0,1.08,1.08,0,0.36,0.36,0.36,0,0,0,0,0,0,0.72,0,0.36,0,0.36,0,0,0.72,1.08,4.3,16.85,2.87,2.87,8.96,2.51,0.72,0.36,0.36,1.79,3.58,0.36,0,0,0,0,0,12.54,6.09,5.73,0.36,0,0,0.36,0
"I stand up for the institutions. I try to do that without responding to individual tweets. That is what I did yesterday morning, and incidentally, that is what I also did last night at the General Political Debate in the Senate. There, I actually did not comment on tweets again. I did say that I believe the mayor deserves the support of the Cabinet, just as the fundamental right to demonstrate must remain firmly intact. Every mayor has to make these kinds of difficult trade-offs and decisions every day. I have explicitly called attention to this, as I have done again now. I have also explicitly spoken out about this. I believe that is how I give substance to the Declaration of the Rule of Law. I do indeed think it is important to stand up for the institutions.",1,139,41.42,3.03,89.99,29.97,13.9,20.14,95.68,75.54,63.31,17.27,9.35,9.35,0,0,0,0,7.91,14.39,7.19,0,16.55,11.51,9.35,4.32,0.72,18.71,3.6,2.88,4.32,0,0.72,3.6,26.62,1.44,11.51,4.32,2.16,2.16,0,1.44,2.16,0,2.16,1.44,0.72,0,0,0,0,0,0,0,10.79,8.63,0.72,0,0,0.72,6.47,1.44,0,0,0,0,2.88,2.88,0,0,2.88,0,0,2.16,0.72,0.72,0,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0,0,7.19,6.47,0.72,0,5.76,0,0,0,5.76,5.04,4.32,1.44,1.44,1.44,0,0,0,11.51,7.19,3.6,0,0,0,0.72,0
"Then I leave it to the House's judgment, with reference to the debate. The motion on document no. 92 concerned safeguarding school meals in the coalition programme. Advised against for the same financial reasons. Then the motion on document no. 93 regarding not leaving the distribution decision to municipalities that do not wish to do so. Advised against. The law applies. I do not preempt steps based on the law under the motto ""if then"". Chair. With that I come... Oh, I had to be reminded of an important motion by Ms. Bikker. Or rather, a motion she submitted quite some time ago. I had asked on both the right and the left to remind me of it, because I knew I was going to forget that motion. That is not because it is unimportant, but because it was not entirely provided with the right paperwork. It was that simple. That concerns the deferred motion on tax system allowances. I leave the judgment on that to the House. That seems to me the only correct way to deal with it. Moreover, I have already indicated in the debate that the long-term perspective is emphatically present as far as the Cabinet is concerned.",1,202,74.39,1.5,90.2,26.73,10.1,22.28,91.58,71.29,59.41,13.37,5.94,5.45,0,0,0.5,0,7.43,17.33,10.89,0.99,15.35,6.93,3.96,6.44,3.47,13.86,4.95,1.49,2.48,0.5,0,1.98,23.76,1.98,15.35,2.97,2.48,0.5,2.48,0.5,5.45,1.49,1.49,0.5,0,0.99,0,0,0,0,0,0,5.45,4.95,1.49,0.99,0,0,2.48,1.49,0,0,0.99,0,0.99,0.99,0,0,4.46,0,0.5,2.48,1.49,0,0.5,0,0,0,0,0,0,0.5,0,0.99,0.5,0,0,0,0,0,0,0,3.96,8.91,0.5,5.45,3.47,0,0,0,3.47,6.44,2.97,1.49,0.5,0,0,0.5,0,16.34,11.39,2.97,0,0,0.5,1.49,0
"I noticed just now, when I said ""thanks,"" that there was a brief commotion in the room. It goes without saying that I express my gratitude to every Member of Parliament and for every contribution on the agenda here. This also applies to Mr. Van Baarle. In my opening statement, I wanted to make it clear that, as far as I am concerned, it starts with the hit-and-run actions that took place in Amsterdam and with what is actually being carried out. From there, I subsequently reason that it concerns a group performing those actions — not another group, but the group performing those actions — and that it can be observed there that it involves young people, often boys, with a migration background. We must therefore take a very tough stance against them. In my view, therefore, there is a genuine integration problem here, which has ultimately manifested itself in this way, in part, over the past several decades.",1,158,31.86,15.52,99,49.24,22.57,23.42,88.61,76.58,62.03,20.25,6.96,5.7,0.63,0,0,0.63,13.29,17.72,6.33,0,13.92,5.7,11.39,5.06,0.63,13.92,5.06,3.8,1.9,1.27,0,0.63,24.05,1.27,13.29,3.16,1.27,1.9,0.63,0.63,5.06,0,2.53,1.9,0,1.27,0.63,0,0,0,0,0,8.86,3.8,1.9,1.27,0,0,1.9,5.7,0,0,0,1.27,0.63,0.63,0,0,1.9,0,0.63,1.27,0,0,0,0,0,0,0,0,0,0,0,0.63,0.63,1.27,0,0,0,0,0,0,5.06,15.19,1.27,1.27,12.03,1.27,0,0,6.33,5.06,5.06,0,0,0,0,0,0,16.46,5.06,8.86,0,0,0,2.53,0
"I would like to add very emphatically that, regarding the latter—that black travel advisory—I am thinking of countries like Iran and North Korea. I am not thinking of people traveling back and forth to a red travel zone for a family visit, for example. I am thinking specifically of countries where we run the risk that Dutch citizens will subsequently be used as commodities—I am referring to hostage politics here—such as North Korea or Iran. The second motion. The House, having heard the deliberations, noting that the concept of a European Security Council has previously been discussed in various NATO and EU countries; considering that the security of Europe is coming under further pressure as a result of major threats and far-reaching geopolitical shifts, and that European dependence on the US for security, in particular, makes us vulnerable; considering that a European Security Council can be complementary to the structures of NATO and the EU and can also involve important non-EU countries such as Norway and the United Kingdom in important European security issues; requests the Government to explore the possibilities for a European Security Council within a European context, to submit concrete proposals to this effect, and to report to the House on the progress in Q3, quarter three, of 2025, and proceeds to the order of the day.",1,224,93.21,37.49,48.09,32.62,44.8,29.02,88.39,66.52,50,6.7,3.13,2.23,0.89,0,0,0,3.57,16.07,10.71,1.79,16.07,6.25,3.13,7.14,0.45,13.39,8.48,2.68,6.25,1.79,0.45,4.02,16.07,0,10.27,3.57,2.23,1.79,0.89,0,1.79,0,2.68,1.79,0.89,0.89,0.89,0,0,0,0,0,8.04,4.02,0,0.89,0.89,0,0.89,3.13,0.45,0,0,0.45,6.25,3.13,3.13,0,2.68,0,0.89,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0.45,4.02,11.16,0.45,3.13,6.7,0.89,0.45,0,2.23,2.23,4.02,0.89,0,0,0,0,0,9.82,2.23,5.36,0,0,0,2.23,0
"I think we do not differ much in that regard. I view ministerial responsibility differently from what I have heard today from previous speakers. To me, ""ministerial responsibility"" means being held accountable for what your organization does and for the evidently demonstrated errors the committee writes about. As a minister, you are then responsible, both now and for what happened in the past. Political accountability will have to be provided for that.",1,72,45.49,25.13,77.17,,14.4,25,97.22,76.39,61.11,16.67,9.72,5.56,1.39,2.78,0,0,6.94,12.5,5.56,0,16.67,11.11,5.56,5.56,1.39,19.44,8.33,2.78,9.72,1.39,0,6.94,27.78,0,12.5,2.78,4.17,0,0,1.39,4.17,0,0,0,0,0,0,0,0,0,0,0,11.11,4.17,0,1.39,0,0,1.39,4.17,0,0,0,0,1.39,1.39,0,0,8.33,0,0,6.94,0,1.39,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,4.17,5.56,0,0,2.78,1.39,1.39,0,6.94,8.33,8.33,4.17,0,0,0,0,0,13.89,6.94,4.17,0,0,0,2.78,0
"Political leadership—which you expect of a Prime Minister, and rightly so—entails demonstrating it both within and outside that political leadership. I demonstrate it externally, here in the House and elsewhere. You can also hold me accountable at any time for how cabinet policy manifests itself externally regarding all the points we have discussed and which are so essential to our constitutional state. Internally, it is up to the Cabinet. I will normally not speak here in this House about what I do internally. That is political leadership within the Cabinet, but you can hold me accountable for what I do externally when it comes to the unity of cabinet policy.",1,112,18.12,50.7,82.24,32.62,18.67,26.79,90.18,74.11,64.29,20.54,9.82,5.36,1.79,2.68,0,0,10.71,11.61,5.36,0,13.39,8.04,9.82,8.04,0.89,12.5,6.25,1.79,8.04,2.68,0,5.36,16.96,0.89,8.93,0.89,0.89,2.68,0.89,0.89,3.57,0,0.89,0.89,0,0,0,0,0,0,0,0,12.5,3.57,0,0.89,0,0.89,1.79,7.14,0,0,0,0,4.46,4.46,0,0,6.25,0,1.79,2.68,0,1.79,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,5.36,13.39,0,0.89,13.39,0,0,0,1.79,0.89,5.36,1.79,0,0,0,0,0,8.93,5.36,3.57,0,0,0,0,0
"I have the feeling that nowadays we are dealing with that public-private interface a bit more relaxed. I also see that encouraging practorates provides more opportunities for this. I was able to choose that cut to the RIF because I see that precisely in the interim period… The RIF was actually always intended as a catalyst, as a starting point to enable collaborations. Subsequently, they were supposed to be consolidated within the partnership that is formed. But I also see that in the meantime we have other programs with the same goals. Particularly from the Growth Fund programs, these have emerged in recent years, such as the LLO-Katalysator. I already mentioned the scaling up of PPPs, quite deliberately, and also the more recent collaboration between the business community and educational institutions in the Beethoven Program, for which 450 million is available. In this context, we want to train MBO, HBO, and WO students in the high-tech sector precisely at that public-private interface. So we are doing a lot in the meantime and are dealing with that interface more relaxed. These programs will continue for the coming years and will also contribute to the goal that Mr. Soepboer and I hold so dear.",1,202,61.03,42.96,51.43,74.33,18.36,27.72,87.62,66.83,59.9,13.37,5.94,3.47,1.98,0,0,0.5,7.43,21.29,10.4,0.99,13.37,7.92,6.93,8.42,0,11.39,4.46,4.46,7.43,4.95,1.98,0.5,20.3,0.5,8.42,0.99,1.98,1.49,0.5,1.49,1.98,0,3.47,3.47,0,0.99,0.99,0,0,0,0,0,8.42,4.46,2.48,0.5,0,0,0.5,3.96,0,0,0,0.5,0,0,0,0,8.42,1.49,0,6.44,0.99,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.49,0,0,4.95,8.42,0,0.99,5.94,1.49,0,0.5,6.44,2.48,3.47,1.98,0,0,0,0,0,13.86,6.93,4.95,0,0,0,1.98,0
